Household_Type,Ward_ID,Total_Households,Average_Monthly_Shelter_Costs,Percent_Spending_30_Percent_Or_More_On_Shelter,Year
Tenant,Toronto,525825,1242,46.8,2016
Tenant,Ward 1,16945,1064,42.8,2016
Tenant,Ward 2,14875,1303,44.2,2016
Tenant,Ward 3,25875,1229,46.4,2016
Tenant,Ward 4,28945,1174,45.6,2016
Tenant,Ward 5,22995,957,45.6,2016
Tenant,Ward 6,20240,1177,46.5,2016
Tenant,Ward 7,18620,1011,44.4,2016
Tenant,Ward 8,19925,1245,43.1,2016
Tenant,Ward 9,22210,1226,47.4,2016
Tenant,Ward 10,38595,1673,44.6,2016
Tenant,Ward 11,29575,1560,52.3,2016
Tenant,Ward 12,32430,1384,47.1,2016
Tenant,Ward 13,41500,1214,46.5,2016
Tenant,Ward 14,20640,1123,46.0,2016
Tenant,Ward 15,18625,1353,48.0,2016
Tenant,Ward 16,20890,1205,47.4,2016
Tenant,Ward 17,17625,1390,53.2,2016
Tenant,Ward 18,19625,1537,59.4,2016
Tenant,Ward 19,20405,1082,46.8,2016
Tenant,Ward 20,18355,936,44.0,2016
Tenant,Ward 21,16935,1067,44.3,2016
Tenant,Ward 22,11985,1103,47.4,2016
Tenant,Ward 23,5660,1144,45.8,2016
Tenant,Ward 24,15920,950,44.9,2016
Tenant,Ward 25,6425,1097,42.3,2016
Owner,Toronto,587080,1682,27.4,2016
Owner,Ward 1,20945,1425,27.3,2016
Owner,Ward 2,30175,1606,20.1,2016
Owner,Ward 3,33860,1713,24.1,2016
Owner,Ward 4,21370,1898,22.0,2016
Owner,Ward 5,21935,1406,27.9,2016
Owner,Ward 6,19600,1544,26.7,2016
Owner,Ward 7,17590,1368,28.5,2016
Owner,Ward 8,24290,2068,21.0,2016
Owner,Ward 9,23375,1585,25.8,2016
Owner,Ward 10,29340,1916,36.0,2016
Owner,Ward 11,21635,2029,27.9,2016
Owner,Ward 12,20925,2047,22.9,2016
Owner,Ward 13,17015,1840,34.6,2016
Owner,Ward 14,25510,1748,21.0,2016
Owner,Ward 15,21060,2353,19.7,2016
Owner,Ward 16,17175,1526,27.9,2016
Owner,Ward 17,24845,1575,32.3,2016
Owner,Ward 18,30330,1814,40.3,2016
Owner,Ward 19,25590,1784,21.2,2016
Owner,Ward 20,23145,1560,27.0,2016
Owner,Ward 21,23350,1377,29.6,2016
Owner,Ward 22,24780,1371,34.7,2016
Owner,Ward 23,23685,1384,33.6,2016
Owner,Ward 24,20015,1430,27.3,2016
Owner,Ward 25,25535,1572,24.3,2016
Tenant,Toronto,557970,1562,40.0,2021
Tenant,Ward 1,17340,1328,34.0,2021
Tenant,Ward 2,14780,1574,39.0,2021
Tenant,Ward 3,28260,1592,41.0,2021
Tenant,Ward 4,27835,1492,40.0,2021
Tenant,Ward 5,23370,1196,35.0,2021
Tenant,Ward 6,20735,1448,36.0,2021
Tenant,Ward 7,19605,1261,33.0,2021
Tenant,Ward 8,21395,1588,38.0,2021
Tenant,Ward 9,22025,1552,41.0,2021
Tenant,Ward 10,46885,1988,44.0,2021
Tenant,Ward 11,30420,1976,49.0,2021
Tenant,Ward 12,35680,1768,45.0,2021
Tenant,Ward 13,48300,1520,43.0,2021
Tenant,Ward 14,20855,1424,38.0,2021
Tenant,Ward 15,19215,1716,41.0,2021
Tenant,Ward 16,21340,1492,39.0,2021
Tenant,Ward 17,19795,1754,44.0,2021
Tenant,Ward 18,21210,1880,49.0,2021
Tenant,Ward 19,20190,1370,39.0,2021
Tenant,Ward 20,19170,1196,32.0,2021
Tenant,Ward 21,17520,1338,36.0,2021
Tenant,Ward 22,12975,1358,36.0,2021
Tenant,Ward 23,6085,1408,33.0,2021
Tenant,Ward 24,16320,1197,32.0,2021
Tenant,Ward 25,6665,1362,33.0,2021
Owner,Toronto,602915,2038,26.0,2021
Owner,Ward 1,20790,1664,24.0,2021
Owner,Ward 2,30560,1930,19.0,2021
Owner,Ward 3,37305,2108,25.0,2021
Owner,Ward 4,21610,2280,20.0,2021
Owner,Ward 5,21685,1660,22.0,2021
Owner,Ward 6,20535,1918,25.0,2021
Owner,Ward 7,18070,1622,24.0,2021
Owner,Ward 8,24515,2418,20.0,2021
Owner,Ward 9,23645,1910,22.0,2021
Owner,Ward 10,33845,2290,35.0,2021
Owner,Ward 11,23080,2592,30.0,2021
Owner,Ward 12,22430,2492,25.0,2021
Owner,Ward 13,20665,2172,35.0,2021
Owner,Ward 14,25380,2138,18.0,2021
Owner,Ward 15,20820,2968,22.0,2021
Owner,Ward 16,16945,1846,26.0,2021
Owner,Ward 17,25990,1904,31.0,2021
Owner,Ward 18,29340,2202,38.0,2021
Owner,Ward 19,25515,2168,18.0,2021
Owner,Ward 20,22735,1872,23.0,2021
Owner,Ward 21,23045,1668,26.0,2021
Owner,Ward 22,25370,1640,32.0,2021
Owner,Ward 23,23465,1636,29.0,2021
Owner,Ward 24,19925,1776,25.0,2021
Owner,Ward 25,25650,1802,21.0,2021
