Shelter_Key,Household_Type,Average_Monthly_Shelter_Costs,Percent_Spending_30_Percent_Or_More_On_Shelter
SH1,Tenant,1242,46.8
SH2,Tenant,1064,42.8
SH3,Tenant,1303,44.2
SH4,Tenant,1229,46.4
SH5,Tenant,1174,45.6
SH6,Tenant,957,45.6
SH7,Tenant,1177,46.5
SH8,Tenant,1011,44.4
SH9,Tenant,1245,43.1
SH10,Tenant,1226,47.4
SH11,Tenant,1673,44.6
SH12,Tenant,1560,52.3
SH13,Tenant,1384,47.1
SH14,Tenant,1214,46.5
SH15,Tenant,1123,46.0
SH16,Tenant,1353,48.0
SH17,Tenant,1205,47.4
SH18,Tenant,1390,53.2
SH19,Tenant,1537,59.4
SH20,Tenant,1082,46.8
SH21,Tenant,936,44.0
SH22,Tenant,1067,44.3
SH23,Tenant,1103,47.4
SH24,Tenant,1144,45.8
SH25,Tenant,950,44.9
SH26,Tenant,1097,42.3
SH27,Owner,1682,27.4
SH28,Owner,1425,27.3
SH29,Owner,1606,20.1
SH30,Owner,1713,24.1
SH31,Owner,1898,22.0
SH32,Owner,1406,27.9
SH33,Owner,1544,26.7
SH34,Owner,1368,28.5
SH35,Owner,2068,21.0
SH36,Owner,1585,25.8
SH37,Owner,1916,36.0
SH38,Owner,2029,27.9
SH39,Owner,2047,22.9
SH40,Owner,1840,34.6
SH41,Owner,1748,21.0
SH42,Owner,2353,19.7
SH43,Owner,1526,27.9
SH44,Owner,1575,32.3
SH45,Owner,1814,40.3
SH46,Owner,1784,21.2
SH47,Owner,1560,27.0
SH48,Owner,1377,29.6
SH49,Owner,1371,34.7
SH50,Owner,1384,33.6
SH51,Owner,1430,27.3
SH52,Owner,1572,24.3
SH53,Tenant,1562,40.0
SH54,Tenant,1328,34.0
SH55,Tenant,1574,39.0
SH56,Tenant,1592,41.0
SH57,Tenant,1492,40.0
SH58,Tenant,1196,35.0
SH59,Tenant,1448,36.0
SH60,Tenant,1261,33.0
SH61,Tenant,1588,38.0
SH62,Tenant,1552,41.0
SH63,Tenant,1988,44.0
SH64,Tenant,1976,49.0
SH65,Tenant,1768,45.0
SH66,Tenant,1520,43.0
SH67,Tenant,1424,38.0
SH68,Tenant,1716,41.0
SH69,Tenant,1492,39.0
SH70,Tenant,1754,44.0
SH71,Tenant,1880,49.0
SH72,Tenant,1370,39.0
SH73,Tenant,1196,32.0
SH74,Tenant,1338,36.0
SH75,Tenant,1358,36.0
SH76,Tenant,1408,33.0
SH77,Tenant,1197,32.0
SH78,Tenant,1362,33.0
SH79,Owner,2038,26.0
SH80,Owner,1664,24.0
SH81,Owner,1930,19.0
SH82,Owner,2108,25.0
SH83,Owner,2280,20.0
SH84,Owner,1660,22.0
SH85,Owner,1918,25.0
SH86,Owner,1622,24.0
SH87,Owner,2418,20.0
SH88,Owner,1910,22.0
SH89,Owner,2290,35.0
SH90,Owner,2592,30.0
SH91,Owner,2492,25.0
SH92,Owner,2172,35.0
SH93,Owner,2138,18.0
SH94,Owner,2968,22.0
SH95,Owner,1846,26.0
SH96,Owner,1904,31.0
SH97,Owner,2202,38.0
SH98,Owner,2168,18.0
SH99,Owner,1872,23.0
SH100,Owner,1668,26.0
SH101,Owner,1640,32.0
SH102,Owner,1636,29.0
SH103,Owner,1776,25.0
SH104,Owner,1802,21.0
